month,day,year,region,site,burn_year,transect,plot,book,species,height_cm,basal_diameter_cm,age,safe_site,radius_m,area_sampled_m2,notes
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.1,0.01,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.4,0.03,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.5,0.06,1,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,0.5,0.06,1,no,1,3.14159265358979,NA
july,2,2018,Cherskiy,FOC,2015,1,100,Siberia_2018_1,Larix cajanderi,1,0.02,1,no_open_moss,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,2,200,Siberia_2018_1,Larix cajanderi,1,0.05,1,hummock,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,2,200,Siberia_2018_1,Larix cajanderi,1,0.05,1,hummock,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,3,50,Siberia_2018_1,Larix cajanderi,1,0.07,1,no,1,3.14159265358979,NA
july,2,2018,Cherskiy,FOC,2015,1,75,Siberia_2018_1,Larix cajanderi,2,0.03,1,no_open_moss,1,3.14159265358979,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,2.6,0.059,1,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,25,Siberia_2018_1,Larix cajanderi,3,0.07,1,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,50,Siberia_2018_1,Larix cajanderi,3,0.06,1,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,50,Siberia_2018_1,Larix cajanderi,4,0.13,2,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,2,25,Siberia_2018_1,Larix cajanderi,4,0.09,2,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,50,Yakutsk_2018_1,Larix cajanderi,5,0.12,7,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.11,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.1,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.08,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,5,0.01,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
july,3,2018,Cherskiy,Shark,2010,2,50,Siberia_2018_1,Larix cajanderi,5,0.08,2,no,2,12.5663706143592,NA
