month,day,year,region,site,burn_year,transect,plot,book,species,height_cm,basal_diameter_cm,age,safe_site,radius_m,area_sampled_m2,notes
june,25,2018,Cherskiy,CN,2001,1,-50,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,25,2018,Cherskiy,CN,2001,1,-25,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,25,2018,Cherskiy,CN,2001,1,25,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,19.7,0.578,3,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,20.2,0.321,3,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,13.7,0.179,2,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,2.6,0.059,1,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,16,0.32,4,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,75,Siberia_2018_1,Larix cajanderi,10,0.18,4,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,75,Siberia_2018_1,Larix cajanderi,104,2,12,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,75,Siberia_2018_1,Larix cajanderi,330,4.25,11,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,75,Siberia_2018_1,Larix cajanderi,115,1.8,9,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,100,Siberia_2018_1,Larix cajanderi,240,3.5,11,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,100,Siberia_2018_1,Larix cajanderi,35,0.6,5,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,100,Siberia_2018_1,Larix cajanderi,95,1.33,7,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,100,Siberia_2018_1,Larix cajanderi,55,0.7,5,no,2,12.5663706143592,age from core
june,25,2018,Cherskiy,CN,2001,1,100,Siberia_2018_1,Larix cajanderi,40,0.7,5,no,2,12.5663706143592,top dead; age from core
june,25,2018,Cherskiy,CN,2001,1,150,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,25,2018,Cherskiy,CN,2001,1,200,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
