obs,loc,block,temp,food,smass,emass,ssl,esl,days
1,Badger Creek,South,24,Once Daily,0.614,0.647,NA,33,56
2,Main Creek,North,10,Twice Daily,0.433,0.345,NA,29.23,56
3,Main Creek,South,10,Once Daily,0.996,0.943,NA,39.34,56
4,Badger Creek,North,24,Twice Daily,0.573,1.13,NA,38.53,56
5,Snake River,South,17,Twice Daily,0.678,0.794,NA,36.02,56
6,Main Creek,North,24,Twice Daily,0.321,0.559,NA,32.4,56
7,Badger Creek,South,10,Once Daily,0.655,0.551,NA,32.99,56
8,Snake River,North,17,Once Daily,0.334,0.406,NA,28.83,56
9,Snake River,North,17,Twice Daily,0.426,0.448,NA,29.55,56
10,Snake River,South,24,Once Daily,0.276,0.45,NA,29.02,56
11,Badger Creek,South,17,Twice Daily,0.329,0.415,NA,30.03,56
12,Snake River,South,10,Once Daily,0.89,0.898,NA,38.34,56
13,Badger Creek,North,10,Once Daily,0.35,0.29,NA,27.56,56
14,Snake River,North,17,Twice Daily,0.182,NA,NA,NA,NA
15,Main Creek,South,17,Twice Daily,0.378,0.994,NA,39.75,56
16,Badger Creek,North,17,Once Daily,0.67,0.564,NA,33.96,56
17,Snake River,South,10,Once Daily,0.436,0.421,NA,29.38,56
18,Main Creek,South,24,Once Daily,0.488,0.641,NA,34.66,56
19,Main Creek,North,24,Twice Daily,NA,NA,NA,NA,NA
20,Badger Creek,South,10,Twice Daily,0.297,NA,NA,NA,NA
21,Main Creek,South,24,Twice Daily,0.558,0.822,NA,36.59,56
22,Badger Creek,South,24,Twice Daily,0.525,0.661,NA,34.08,56
23,Main Creek,South,17,Twice Daily,0.453,0.585,NA,33.32,56
24,Badger Creek,South,24,Once Daily,1.056,1.233,NA,42.52,56
25,Badger Creek,South,24,Once Daily,0.169,0.363,NA,25.62,56
26,Snake River,South,10,Once Daily,0.638,0.602,33.91,34.19,56
27,Snake River,North,17,Once Daily,0.519,0.496,31.83,31.64,31
28,Badger Creek,North,10,Twice Daily,0.736,0.69,36.41,35.99,56
29,Snake River,North,17,Once Daily,0.833,0.726,36.54,35.67,56
30,Main Creek,South,10,Twice Daily,0.346,0.288,26.7,28.15,56
31,Snake River,North,10,Twice Daily,0.193,0.239,24.08,24.59,56
32,Badger Creek,North,24,Once Daily,0.168,NA,23.08,NA,NA
33,Badger Creek,North,10,Once Daily,0.882,0.75,36.18,35.86,56
34,Badger Creek,South,10,Twice Daily,0.725,0.705,33.93,34.32,56
35,Badger Creek,North,17,Twice Daily,0.63,0.595,32.82,32.22,56
36,Main Creek,North,17,Twice Daily,NA,NA,NA,NA,NA
37,Main Creek,North,24,Twice Daily,NA,NA,NA,NA,NA
38,Main Creek,North,10,Once Daily,NA,NA,NA,NA,NA
39,Main Creek,North,10,Twice Daily,NA,NA,NA,NA,NA
40,Main Creek,North,17,Once Daily,0.567,0.457,31.82,30.6,56
41,Badger Creek,North,24,Twice Daily,0.546,0.532,31.34,32.05,56
42,Main Creek,South,17,Twice Daily,0.55,NA,NA,NA,NA
43,Snake River,South,10,Once Daily,0.4,0.437,30.39,29.87,56
44,Main Creek,South,10,Twice Daily,0.775,0.827,35.33,35.37,56
45,Main Creek,South,17,Twice Daily,0.791,1.035,35.84,39.3,56
46,Main Creek,South,17,Once Daily,0.641,0.725,33.58,35.44,56
47,Badger Creek,North,17,Twice Daily,0.411,0.454,28.79,30.13,56
48,Snake River,South,24,Once Daily,0.348,0.498,27.75,30.02,56
49,Badger Creek,South,24,Once Daily,0.727,0.601,33.54,33.22,56
50,Badger Creek,South,17,Once Daily,0.846,0.896,36.9,38.06,56
51,Snake River,North,10,Twice Daily,0.659,0.601,32.82,33.41,56
52,Snake River,North,10,Once Daily,0.604,0.57,31.74,31.77,56
53,Snake River,North,10,Twice Daily,0.494,0.494,31.99,31.75,56
54,Snake River,North,10,Twice Daily,0.98,0.929,40.31,38.99,56
55,Main Creek,North,17,Once Daily,0.903,0.928,37.28,37,56
56,Badger Creek,North,24,Once Daily,0.528,0.841,30.82,36.79,56
57,Main Creek,North,17,Once Daily,0.72,0.797,35.55,36.5,56
58,Main Creek,South,10,Twice Daily,0.507,0.602,31.26,33.51,56
59,Snake River,North,24,Once Daily,0.443,0.543,29.54,31.76,56
60,Badger Creek,North,24,Twice Daily,0.89,0.972,35.13,37.71,56
61,Badger Creek,South,10,Once Daily,0.536,0.448,29.35,30.17,56
62,Main Creek,North,17,Once Daily,0.618,0.725,32.64,34.29,56
63,Badger Creek,South,10,Twice Daily,0.467,0.387,29.44,30.2,56
64,Main Creek,North,10,Twice Daily,0.822,0.878,37.03,37.92,56
65,Snake River,North,17,Twice Daily,0.52,0.615,31.79,33.26,56
66,Badger Creek,South,17,Twice Daily,0.439,0.371,28.49,29.87,56
67,Badger Creek,South,24,Once Daily,0.451,0.649,29.54,32.84,56
68,Snake River,North,10,Once Daily,0.526,0.481,31.39,31.38,56
69,Main Creek,North,24,Twice Daily,0.682,1.418,34.28,43.23,56
70,Main Creek,South,17,Once Daily,0.809,0.577,36.14,32.61,56
71,Snake River,South,10,Twice Daily,0.467,0.461,30.94,31.31,56
72,Main Creek,South,17,Twice Daily,0.373,0.545,28.75,32.32,56
73,Badger Creek,North,10,Once Daily,0.181,0.147,22.44,22.77,56
74,Badger Creek,South,17,Once Daily,0.504,0.444,31.41,31.56,56
75,Badger Creek,North,17,Once Daily,0.686,0.645,34.3,33.34,56
76,Badger Creek,South,24,Twice Daily,0.521,0.611,30.54,31.7,56
77,Snake River,North,10,Twice Daily,0.966,0.926,39.36,37.94,56
78,Main Creek,North,10,Once Daily,0.889,0.82,38.14,37.58,56
79,Main Creek,South,24,Twice Daily,0.476,0.99,30.43,37.54,56
80,Snake River,South,17,Twice Daily,0.724,1.334,35.19,42,56
81,Badger Creek,North,10,Once Daily,0.96,0.794,36.91,36.55,56
82,Badger Creek,South,10,Twice Daily,0.708,0.602,32.11,32.99,56
83,Snake River,North,17,Once Daily,0.753,0.813,34.5,36.58,48
84,Snake River,North,17,Twice Daily,0.409,0.4,27.94,28.66,56
85,Snake River,North,24,Once Daily,0.956,1.057,38.6,38.87,56
86,Snake River,South,10,Once Daily,0.502,0.569,31.25,32.39,56
87,Snake River,North,24,Twice Daily,0.678,0.808,34.7,36.57,56
88,Main Creek,North,10,Twice Daily,0.633,0.62,33.32,34.08,56
89,Snake River,South,10,Twice Daily,1.044,0.999,40.26,39.45,56
90,Main Creek,North,24,Once Daily,0.681,0.975,35.34,37.54,56
91,Main Creek,North,10,Twice Daily,0.813,0.797,35.91,37.49,56
92,Badger Creek,South,10,Twice Daily,0.214,0.224,23.59,22.98,56
93,Badger Creek,South,24,Twice Daily,0.398,0.701,28.06,32.21,56
94,Main Creek,South,10,Once Daily,NA,NA,37.3,NA,NA
95,Main Creek,South,24,Twice Daily,0.83,0.884,36.85,37.33,56
96,Snake River,North,17,Twice Daily,1.13,1.206,41.21,41.62,56
97,Main Creek,North,10,Once Daily,0.855,0.832,38.84,37.81,56
98,Main Creek,South,24,Once Daily,0.851,1.075,35.34,38.02,56
99,Snake River,South,17,Twice Daily,1.2,NA,42.55,NA,NA
100,Main Creek,North,10,Twice Daily,0.332,0.323,27.3,26.72,56
101,Badger Creek,North,24,Twice Daily,0.849,1.283,33.51,39.84,56
102,Snake River,North,24,Once Daily,0.635,0.736,33.23,35.27,56
103,Main Creek,South,24,Once Daily,0.968,1.132,39.38,41.29,56
104,Snake River,South,24,Twice Daily,0.922,0.816,37.81,37.24,56
105,Main Creek,North,24,Twice Daily,0.536,0.801,32.62,35.22,56
106,Badger Creek,South,10,Once Daily,0.726,0.708,34.11,34.27,56
107,Main Creek,South,24,Once Daily,0.464,0.523,30.1,31.5,56
108,Snake River,North,10,Twice Daily,0.604,0.571,32.25,33.11,56
109,Main Creek,North,24,Once Daily,0.554,0.956,31.56,37.36,56
110,Snake River,North,24,Twice Daily,0.493,0.605,31.09,33.17,56
111,Badger Creek,North,24,Once Daily,0.782,0.948,32.92,36.39,56
112,Snake River,South,24,Once Daily,0.472,0.53,29.94,31.5,56
113,Snake River,North,17,Once Daily,0.327,0.44,27.15,29.43,56
114,Main Creek,North,17,Once Daily,0.508,0.49,31.61,31.51,56
115,Main Creek,North,17,Once Daily,0.535,0.598,30.82,32.6,56
116,Snake River,South,24,Twice Daily,0.745,1.234,34.36,40.13,56
117,Main Creek,North,17,Once Daily,0.589,0.712,32.13,34.1,56
118,Snake River,South,24,Twice Daily,0.451,0.939,31.4,37.64,56
119,Snake River,North,10,Twice Daily,0.516,0.516,31.47,31.46,56
120,Snake River,North,24,Twice Daily,0.496,0.797,30.87,36.18,56
121,Main Creek,North,10,Once Daily,0.485,0.404,29.75,30.53,56
122,Main Creek,North,24,Once Daily,0.524,1.014,32.52,38.94,56
123,Main Creek,North,10,Once Daily,0.509,0.505,31.5,31.91,56
124,Main Creek,South,24,Once Daily,0.559,1.028,32.14,38.22,56
125,Badger Creek,North,17,Twice Daily,0.487,NA,NA,NA,NA
126,Main Creek,South,10,Once Daily,0.741,0.722,35.96,35.45,55
127,Snake River,North,17,Once Daily,0.565,0.696,32.85,34.45,55
128,Main Creek,South,24,Once Daily,0.785,1.025,36.63,39.23,55
129,Snake River,South,17,Twice Daily,0.448,0.611,30.04,31.92,55
130,Badger Creek,South,17,Once Daily,NA,NA,NA,NA,NA
131,Main Creek,South,10,Once Daily,0.583,0.61,33.55,33.44,55
132,Badger Creek,South,17,Once Daily,0.339,0.385,26.27,27.88,55
133,Badger Creek,South,17,Twice Daily,0.605,0.633,31.59,33.64,55
134,Badger Creek,North,10,Twice Daily,0.511,0.463,30.68,31.44,55
135,Main Creek,North,10,Twice Daily,0.798,0.685,36.07,35.34,55
136,Main Creek,South,10,Twice Daily,0.32,NA,NA,NA,NA
137,Main Creek,South,17,Twice Daily,0.638,0.561,33.44,33.82,55
138,Badger Creek,North,17,Once Daily,0.396,0.463,30.28,30.86,55
139,Badger Creek,North,10,Once Daily,0.41,0.373,28.65,28.5,55
140,Badger Creek,North,24,Twice Daily,0.664,0.815,34.01,36.33,55
141,Badger Creek,South,17,Twice Daily,0.378,0.468,28.35,30.72,55
142,Main Creek,North,17,Once Daily,0.988,1.031,39.05,39.54,55
143,Main Creek,South,10,Twice Daily,NA,NA,32.84,NA,NA
144,Main Creek,North,17,Twice Daily,0.753,0.746,35.3,35.15,55
145,Main Creek,South,17,Twice Daily,0.835,0.938,36.25,37.99,55
146,Main Creek,South,24,Twice Daily,0.801,1.352,36.88,42.06,55
147,Snake River,North,10,Twice Daily,0.669,0.66,34.47,34.84,55
148,Snake River,South,17,Twice Daily,0.738,0.85,35.55,36.98,55
149,Main Creek,South,24,Once Daily,0.696,0.841,34.94,37.35,55
150,Badger Creek,North,24,Twice Daily,0.638,1.064,33.23,38.62,55
151,Main Creek,South,17,Once Daily,0.5,0.405,30.85,31.83,55
152,Main Creek,North,17,Once Daily,0.247,0.313,24.44,25.5,55
153,Main Creek,North,10,Twice Daily,0.606,0.573,33.36,33.4,55
154,Snake River,North,24,Twice Daily,0.788,1.218,35.34,41.54,55
155,Snake River,South,24,Twice Daily,0.735,0.902,35.08,37.32,55
156,Main Creek,South,24,Twice Daily,0.945,0.846,36.61,37.19,55
157,Main Creek,South,24,Twice Daily,1.063,1.964,38.08,46.11,55
158,Badger Creek,North,17,Twice Daily,0.532,0.494,31.49,31.91,55
159,Snake River,North,17,Once Daily,0.739,0.663,34,34.4,55
160,Badger Creek,South,24,Once Daily,0.707,0.738,33.17,35.54,55
161,Snake River,South,17,Twice Daily,0.655,0.844,34.02,36.26,55
162,Badger Creek,North,24,Twice Daily,1.039,1.664,38.46,44.51,55
163,Badger Creek,North,10,Once Daily,1.097,0.921,39.8,39.82,55
164,Snake River,South,10,Once Daily,1.144,1.066,39.93,40.04,55
165,Badger Creek,South,10,Twice Daily,1.314,1.54,43.08,43.71,55
166,Badger Creek,South,10,Once Daily,0.839,0.809,36.05,36.16,55
167,Main Creek,South,24,Once Daily,0.415,0.265,29.08,28.9,53
168,Main Creek,South,17,Twice Daily,0.475,0.571,30.03,32.27,55
169,Badger Creek,North,17,Once Daily,0.77,0.888,34.73,35.67,55
170,Badger Creek,South,24,Once Daily,0.617,1.125,33.14,38.47,55
171,Main Creek,North,24,Once Daily,0.897,1.146,37.15,40.33,55
172,Badger Creek,South,10,Once Daily,0.382,0.398,27.43,28.97,55
173,Snake River,South,24,Twice Daily,0.835,0.935,36.03,37.57,55
174,Main Creek,North,24,Once Daily,0.462,0.494,29.24,31.72,55
175,Badger Creek,North,17,Once Daily,0.849,0.984,35.89,37.6,55
176,Snake River,South,10,Once Daily,0.964,0.997,39.2,38.82,55
177,Badger Creek,North,24,Twice Daily,0.787,0.951,36.37,39.04,55
178,Main Creek,North,24,Once Daily,0.654,0.91,33.63,37.69,55
179,Main Creek,South,10,Twice Daily,0.963,0.953,38.86,39.82,55
180,Main Creek,North,24,Twice Daily,0.644,0.528,31.99,33.91,55
181,Snake River,North,24,Twice Daily,0.515,NA,31.63,NA,NA
182,Snake River,North,10,Once Daily,0.771,0.688,35.58,35.67,55
183,Main Creek,South,17,Once Daily,0.602,0.662,31.68,34.35,55
184,Snake River,North,10,Once Daily,0.517,0.517,30.61,31.13,55
185,Snake River,North,24,Once Daily,0.426,0.593,28.4,32.36,55
186,Main Creek,North,10,Once Daily,0.412,0.281,28.13,28.72,55
187,Snake River,South,17,Once Daily,0.86,0.975,35.2,37.57,55
188,Snake River,South,17,Once Daily,0.915,1.218,37.5,39.87,55
189,Main Creek,North,24,Once Daily,0.613,0.802,31.03,36.51,55
