response,treatment,fac1,fac2,fac3
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuS1,Ru,S,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,RuD1,Ru,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
,CoD1,Co,D,1
4.165999889,CoD1,Co,D,1
4.428999901,RuS1,Ru,S,1
3.654999971,RuS1,Ru,S,1
4.137000084,RuS1,Ru,S,1
4.079999924,RuS1,Ru,S,1
4.528999805,RuS1,Ru,S,1
4.395999908,RuS1,Ru,S,1
4.09100008,RuS1,Ru,S,1
4.282000065,RuS1,Ru,S,1
4.028999805,RuS1,Ru,S,1
4.102000237,RuS1,Ru,S,1
4.309000015,RuS1,Ru,S,1
3.719000101,RuS1,Ru,S,1
4.271999836,NoD1,No,D,1
4.171999931,NoD1,No,D,1
3.885999918,NoD1,No,D,1
3.473999977,NoD1,No,D,1
3.888000011,NoD1,No,D,1
3.878000021,NoD1,No,D,1
3.938999891,NoD1,No,D,1
3.717999935,NoD1,No,D,1
3.875,NoD1,No,D,1
3.63499999,NoD1,No,D,1
4.170000076,NoD1,No,D,1
3.734999895,NoD1,No,D,1
3.720000029,NoD1,No,D,1
4.19299984,NoD1,No,D,1
4.15500021,NoD1,No,D,1
4.263000011,NoD1,No,D,1
3.609999895,NoD1,No,D,1
3.516000032,NoD1,No,D,1
4.196,NoD1,No,D,1
4.144,NoS1,No,S,1
3.921,NoS1,No,S,1
3.675,NoS1,No,S,1
3.942,NoS1,No,S,1
4.355,NoS1,No,S,1
4.232,NoS1,No,S,1
3.941,NoS1,No,S,1
4.018,NoS1,No,S,1
3.967,NoS1,No,S,1
4.22,NoS1,No,S,1
4.057,NoS1,No,S,1
4.417,RuD1,Ru,D,1
4.237,RuD1,Ru,D,1
4.291,RuD1,Ru,D,1
4.296,RuD1,Ru,D,1
