No.,day,time,habitat,dist,behavcode,numbirds,response
1,47,9,1,150,1,1,0
2,47,11,1,150,1,2,0
3,52,7,1,150,1,2,1
3,52,7,1,150,1,1,0
4,53,8,1,150,1,2,1
5,53,8,1,150,1,1,0
6,53,7,1,150,1,2,1
7,60,8,1,150,1,2,1
8,69,14,1,150,1,2,0
9,9,10,2,100,1,22,1
10,9,10,2,50,1,16,1
11,12,9,1,60,1,5,1
12,15,11,2,50,1,4,1
13,16,10,2,100,1,2,1
14,16,10,2,70,1,2,1
15,25,8,1,60,1,1,1
16,33,10,2,100,3,4,1
17,33,11,2,70,3,1,1
18,36,10,2,50,2,1,1
19,43,11,2,60,3,1,1
20,43,12,2,45,1,2,1
21,44,10,2,20,1,2,1
22,44,9,2,40,1,6,1
23,69,8,1,25,1,2,1
24,69,10,1,25,1,2,1
25,102,,1,21,1,4,1
26,103,,1,25,1,16,1
27,46,10,1,25,1,4,1
28,45,8,1,75,1,2,1
29,36,11,1,75,1,4,1
30,39,11,1,30,1,4,1
33,2,11,2,25,1,25,1
34,11,10,2,100,1,28,1
35,-5,11,2,20,1,15,1
36,-21,11,2,18,1,10,1
37,99,,2,97,1,3,0
38,45,9,2,50,1,3,1
39,57,9,1,100,1,1,1
57,102,15,1,26,1,2,1
58,43,9,2,270,1,2,0
59,50,9,2,127,2,3,1
60,68,13,2,261,3,1,1
61,89,8,2,114,3,2,1
61,89,8,2,114,3,2,0
62,92,8,2,158,1,2,1
63,93,7,2,186,1,2,0
64,97,11,2,162,1,2,1
65,42,10,2,260,1,5,1
66,36,,1,75,1,4,1
67,37,,1,20,1,2,1
68,38,,1,15,1,5,1
69,45,,1,75,3,3,1
70,46,,1,45,1,4,1
71,7,11,2,125,1,3,1
72,10,12,2,64,1,4,1
73,10,10,2,105,1,1,1
74,10,13,2,109,2,4,1
75,13,10,2,159,1,2,0
76,13,9,2,263,1,2,1
77,13,11,2,74,2,1,1
78,16,9,2,103,2,2,1
79,16,9,2,20,2,4,1
80,19,9,2,87,1,6,0
