Plot_ID,longitude,latitude,bc_sqrt_7,type,cover,richness,RdNBR,percentBALoss_BB,AmpVI_phenology,Greenup_phenology,Length_phenology,MaxVI_phenology,Peak_phenology,Senesce_phenology,VISD_phenology,B1_Recov,B2_Recov,B3_Recov,B4_Recov,B5_Recov,B7_Recov,EVI_Recov,NBR_Recov,NDMI_Recov,NDVI_Recov,RGI_Recov,TCA_Recov,TCB_Recov,TCG_Recov,TCW_Recov,WinterNDVI_Recov
F_12_8775,-106.9689346,37.54185092,1,Burned,81.3,30,268,45,2135,149,86,4157,195,235,3752,-177,-206,-222,547,-396,-7,28,103,17,-31,-7,0,-685,243,-80,-7
F_13_2939,-107.0395414,37.68052773,2,Burned,131.8,31,190,27,2300,139,154,4511,196,293,3897,81,43,62,241,50,146,-353,107,61,61,39,440,-23,268,124,-242
F_13_4275,-107.0578342,37.64451358,3,Burned,78.8,16,7,78,927,134,111,3305,191,245,3088,45,24,33,-32,162,158,-153,85,57,20,18,230,145,27,185,424
F_13_4399,-106.8005785,37.65800468,2,Burned,24.5,13,1728,37,494,136,143,1864,221,279,1716,138,22,-100,434,-268,305,-881,182,61,75,-60,613,-202,363,79,-3
F_13_6435,-106.8199497,37.61240251,2,Burned,24.1,19,1175,62,643,131,148,1883,202,279,1739,-240,-333,-328,831,-198,373,235,289,184,72,36,625,-839,438,403,3
F_13_7873,-106.7924378,37.56876216,2,Burned,26.9,11,942,73,713,146,99,1869,179,245,1674,-72,-122,-144,470,-338,-232,-163,82,66,63,-2,341,-572,222,-220,29
F_14_10341,-106.8193684,37.45718136,1,Burned,110.7,26,141,59,1571,152,84,4169,203,236,3973,-36,-24,-132,-276,-513,-384,-655,-155,-160,-95,-92,-588,-334,-431,-537,-11
F_14_1346,-107.0856272,37.71588594,4,Burned,64.9,15,-13,65,703,137,217,2434,185,354,2288,-109,-109,-39,487,-107,107,462,148,93,68,49,423,-378,334,107,16
F_14_2018,-107.0665117,37.70076735,2,Burned,37.5,20,620,52,457,146,118,1972,199,264,1827,-92,-158,-198,820,-277,639,69,334,163,103,-7,836,-492,585,428,7
F_14_3222,-107.0650227,37.66589939,5,Burned,9.2,19,1383,69,924,124,156,1814,192,280,1519,-69,-167,-142,505,-148,224,-7,232,135,82,27,563,-438,299,205,28
F_14_3234,-107.0701319,37.66372805,2,Burned,40.4,32,356,50,651,116,164,1389,182,280,1228,-1,18,33,69,86,143,174,50,25,12,7,116,79,50,133,-5
F_14_3573,-106.7954287,37.67104286,6,Burned,24.3,17,757,46,500,140,115,1393,207,255,1162,101,-34,-116,483,22,403,-460,272,161,93,-38,748,-234,391,396,1
F_14_4120,-107.0860506,37.64923571,4,Burned,9.3,9,353,58,726,137,139,2247,193,276,2091,-43,-91,-107,343,-149,-39,-245,102,65,20,-2,255,-348,187,-14,-50
F_14_4273,-107.0470095,37.64488221,4,Burned,44.6,21,560,95,720,140,148,2121,197,288,1840,-218,-307,-344,771,-833,-538,-699,81,48,9,0,175,-1189,240,-596,-14
F_14_4283,-107.0550083,37.64355351,3,Burned,61.9,7,25,75,683,130,120,3376,171,250,3185,14,-41,-13,279,-2,57,-377,87,65,26,23,267,-170,213,89,182
F_14_4354,-107.0421959,37.64334351,2,Burned,38.2,22,757,73,571,133,138,2057,194,271,1719,-101,-171,-258,679,-555,-22,-893,181,76,39,-37,462,-804,341,-409,6
F_14_4682,-106.8046514,37.64783965,2,Burned,33.9,12,2529,40,481,158,77,1874,211,235,1833,-5,-146,-252,713,-592,-42,-813,189,95,80,-34,588,-805,392,-206,0
F_14_5080,-107.0458213,37.63792756,6,Burned,32,19,595,56,970,134,87,2743,177,221,2532,-207,-252,-332,794,-760,-48,-161,188,58,-2,-28,298,-1028,343,-288,11
F_14_6810,-106.8144142,37.59440001,3,Burned,174.8,17,7,46,1170,143,109,3411,195,252,3056,41,4,40,300,50,122,-4,126,93,59,45,430,-174,284,153,38
F_14_7447,-106.9288213,37.58128389,2,Burned,22.8,20,501,67,422,161,114,2071,202,275,1997,-168,-322,-379,824,-732,-255,-4,168,87,46,7,389,-1146,333,-340,-14
F_14_8494,-106.9697126,37.5443163,6,Burned,45.6,22,-6,78,1067,157,109,3514,198,266,2870,-192,-236,-301,439,-577,-68,-252,76,-6,-53,-35,-114,-661,97,-218,16
F_14_9251,-106.9505,37.51457945,4,Burned,104.4,25,10,61,1110,135,152,2542,179,287,2243,-115,-182,-171,457,-434,-295,-140,-4,-3,-12,11,-50,-665,171,-317,-156
F_14_9273,-106.9486757,37.5131676,4,Burned,53.6,25,58,39,462,131,149,1936,185,280,1821,48,36,14,-77,-132,-12,-120,-60,-79,-4,-20,-103,24,-45,-164,-49
F_21_3639,-106.7931001,37.67039337,2,Burned,75.2,10,1109,35,839,144,135,2259,210,279,2104,6,-169,-236,1084,-443,422,-1105,421,222,184,-26,1332,-902,749,148,2
F_21_3657,-106.7984999,37.66722893,2,Burned,34.6,13,1584,38,1011,139,129,2392,212,268,1917,62,-71,-107,950,-679,367,-1517,420,151,242,-7,1485,-784,830,12,6
F_21_5839,-106.8324739,37.61724652,2,Burned,20,18,1200,57,596,157,88,2371,212,245,2384,-101,-269,-271,1071,-518,341,-49,428,250,163,28,1212,-971,679,177,3
F_21_6671,-106.8144235,37.6008437,2,Burned,34.6,22,1018,37,801,145,105,2243,199,250,2133,-212,-324,-338,1025,-345,423,151,401,240,102,22,939,-977,581,372,1
F_22_10708,-106.8290095,37.44222489,3,Burned,74,25,294,59,707,142,127,2803,185,269,2651,-65,-149,-116,693,-431,-239,-682,125,112,73,27,502,-739,387,-254,-172
